round,n_actions,first_center_dist,last_center_dist,last_minus_first,slope,mean_center_dist,min_center_dist,max_center_dist,solved,final_conflicts
1,4,7.7801028270839705,4.825971404805461,-2.9541314222785093,-0.842049087350677,4.147839890699101,1.7716909687891076,7.7801028270839705,True,0
2,6,2.102379604162864,8.980882473343028,6.8785028691801635,0.7809973388929056,5.776909492993004,2.102379604162864,9.300537618869138,True,0
3,6,6.9731628404906765,8.517954892787092,1.5447920522964154,0.5634658322212527,6.999648208040448,3.566822426505449,8.872554436137442,True,0
4,5,3.2466623363895746,5.565968020030299,2.3193056836407244,0.4638611367281449,6.738931981945859,3.2466623363895746,9.617692030835672,True,0
5,4,8.666732077199525,7.905694150420948,-0.7610379267785765,-0.41342226904545776,7.943381183518294,6.674994798166928,8.666732077199525,True,0
6,4,7.149282824029217,3.4300592010122766,-3.71922362301694,-1.1835133430970157,5.325908428528384,3.4300592010122766,7.149282824029217,True,0
7,5,5.921148537234985,9.10494371207203,3.183795174837045,0.37726394601401675,5.577860255197561,1.6770509831248424,9.10494371207203,True,0
8,6,7.403546447480424,7.403546447480424,0.0,0.32308846375801686,5.982095828210491,3.430059201012277,8.139410298049853,True,0
9,4,2.9364006844420665,9.962429422585638,7.026028738143571,2.095862903893766,5.821725454088417,2.9364006844420665,9.962429422585638,True,0
10,5,2.23606797749979,6.324555320336759,4.088487342836969,0.8421518331290562,6.25180072831111,2.23606797749979,9.80472605742886,True,0
11,6,2.6087459737497554,2.6087459737497554,0.0,-0.11969195276650788,4.261107368659563,2.6087459737497554,6.490377492873585,True,0
12,7,3.0413812651491097,6.189709201569974,3.148327936420864,0.08654955633952566,4.325315579579495,0.4242640687119289,6.189709201569974,True,0
13,11,1.5,1.5,0.0,-0.2740723526509574,3.9095560046113333,1.5,8.372574275573792,True,0
14,6,4.929088999738891,9.66235536042383,4.733266360684938,0.6945839534385273,6.058600819666938,1.6414763002993507,9.66235536042383,True,0
15,6,7.516648189186454,7.063206700139031,-0.45344148904742276,0.09220630695392378,8.119288311777655,7.063206700139031,9.192388155425117,True,0
16,8,4.9908078770181215,6.88839603971781,1.8975881626996882,0.3087329829331673,4.249034323607983,1.3437096247164246,9.300537618869138,True,0
17,8,4.709564735726647,4.031128874149275,-0.6784358615773725,-0.35533858425856096,4.935238495912002,1.4142135623730951,9.235799911215054,True,0
18,7,2.3021728866442674,2.3021728866442674,0.0,0.06430779124962026,4.985616602696825,2.3021728866442674,9.17877987534291,True,0
19,4,7.743990428396851,8.72774136806053,0.983750939663679,0.5417678799552629,8.09794545602317,6.726812023536855,9.193238004098447,True,0
20,5,8.905054744357274,6.168918507773916,-2.7361362365833584,-0.0949946298936295,7.021150191159914,2.910708199428831,9.6880351305803,True,0
21,4,8.253787009609589,8.57554662980734,0.32175962019775106,0.21734685140572055,6.926047489886887,4.833333333333334,8.57554662980734,True,0
22,6,8.5,9.86154146165801,1.3615414616580104,0.12353868830290386,7.112097598927242,5.015282766154845,9.86154146165801,True,0
23,5,4.986717050202017,9.433981132056603,4.447264081854586,1.593410100583882,6.8228345607244565,3.140063693621516,10.179636535751166,True,0
24,4,7.566372975210778,4.32691832858239,-3.2394546466283884,-1.339841572687447,5.879616845454457,3.972562145517676,7.652613932506983,True,0
25,7,3.8025233297731904,7.074995092263709,3.2724717624905186,0.6285505079928518,5.992402790124525,3.8025233297731904,8.44489943875072,True,0
26,6,7.615773105863909,7.615773105863909,0.0,0.27485434191611213,7.820111333101109,5.87632963677158,9.82344135219425,True,0
27,5,5.522680508593631,7.596051605933177,2.073371097339546,0.2458312783842688,6.528806720497319,5.522680508593631,7.596051605933177,True,0
28,7,4.126472801046649,7.4628710590793705,3.3363982580327214,0.6761123373589558,4.428053421904027,1.118033988749895,7.4628710590793705,True,0
29,4,7.769241347204444,5.25594901040716,-2.513292336797284,-1.0939688925270419,5.147491977916347,2.0824828195876073,7.769241347204444,True,0
30,5,3.3374973990834644,8.795516534639173,5.458019135555709,1.1406666122012719,6.066323534304798,3.3374973990834644,8.795516534639173,True,0
31,4,0.7071067811865476,9.513148795220223,8.806042014033675,2.2149388103971974,4.740282367383852,0.7071067811865476,9.513148795220223,True,0
32,6,5.024937810560445,7.106335201775948,2.0813973912155026,0.48201549492150336,6.248303394324356,3.9319206502675,8.797610992972665,True,0
33,4,4.7001953932463145,7.07248188403477,2.372286490788455,0.5768373979197857,5.3357711717215945,4.110960958218893,7.07248188403477,True,0
34,6,6.4436331493393775,10.547511554864494,4.1038784055251165,0.7792360778522207,7.97219877882964,4.756574397610112,10.547511554864494,True,0
35,4,3.4359213546813847,9.364827814754525,5.92890646007314,1.6321727171896043,7.838437217098587,3.4359213546813847,10.008995953640905,True,0
36,5,6.519202405202649,3.3015148038438356,-3.2176876013588136,-0.5201935713348432,4.767910228803568,3.3015148038438356,6.519202405202649,True,0
37,4,4.159326868617084,6.189709201569974,2.0303823329528896,0.24011899071671694,5.701906030130624,4.159326868617084,8.074272571013468,True,0
38,5,4.101219330881976,4.101219330881976,0.0,-0.12735574984136636,5.607284784439734,4.101219330881976,7.355270219373318,True,0
