round,n_actions,success,final_conflicts,initial_conflicts,max_depth_expanded_max,max_depth_expanded_mean,returned_plan_depth_max,returned_plan_depth_mean,expansions_max,expansions_mean,planner_found_solved_calls,planner_lapse_calls,depth_sequence,returned_plan_depth_sequence,expansions_sequence
1,4,1,0,5,3,2.0,3,2.0,11,6.5,3,0,2 3 2 1,2 3 2 1,11 10 3 2
2,6,1,0,4,3,1.6666666666666667,3,1.6666666666666667,11,8.5,3,0,2 1 1 3 2 1,2 1 1 3 2 1,11 11 11 11 5 2
3,8,1,0,4,2,1.75,2,1.75,11,9.0,2,0,2 2 2 2 2 1 2 1,2 2 2 2 2 1 2 1,11 11 11 11 11 11 4 2
4,7,1,0,6,3,1.4285714285714286,3,1.4285714285714286,11,9.714285714285714,1,0,3 2 1 1 1 1 1,3 2 1 1 1 1 1,11 11 11 11 11 11 2
5,4,1,0,5,3,2.0,3,2.0,11,7.0,3,0,2 3 2 1,2 3 2 1,11 10 5 2
6,4,1,0,7,3,1.75,3,1.75,11,8.75,1,0,3 2 1 1,3 2 1 1,11 11 11 2
7,5,1,0,4,2,1.6,2,1.6,11,8.0,2,0,2 1 2 2 1,2 1 2 2 1,11 11 11 5 2
8,9,1,0,4,2,1.3333333333333333,2,1.4444444444444444,11,7.888888888888889,2,1,0 2 2 2 1 1 1 2 1,1 2 2 2 1 1 1 2 1,0 11 11 11 11 11 11 3 2
9,7,1,0,4,2,1.2857142857142858,2,1.4285714285714286,11,7.142857142857143,2,1,1 1 0 2 2 2 1,1 1 1 2 2 2 1,11 11 0 11 11 4 2
10,6,1,0,4,2,1.6666666666666667,2,1.5,11,8.833333333333334,2,0,2 2 2 1 2 1,2 1 2 1 2 1,11 11 11 11 7 2
11,8,1,0,6,3,2.0,3,2.125,11,7.5,3,1,3 2 3 3 0 3 1 1,3 2 3 3 1 3 1 1,11 11 11 6 0 8 11 2
12,7,1,0,9,2,1.5714285714285714,2,1.4285714285714286,11,8.714285714285714,2,0,2 2 1 2 1 2 1,2 2 1 1 1 2 1,11 11 11 11 11 4 2
13,7,0,2,8,3,2.4285714285714284,3,2.0,11,11.0,0,0,2 3 3 3 2 2 2,1 3 3 2 2 2 1,11 11 11 11 11 11 11
14,7,1,0,6,3,1.8571428571428572,3,1.8571428571428572,11,8.857142857142858,3,0,1 1 3 2 3 2 1,1 1 3 2 3 2 1,11 11 11 11 11 5 2
15,6,1,0,5,2,1.8333333333333333,2,1.8333333333333333,11,9.333333333333334,2,0,2 2 2 2 2 1,2 2 2 2 2 1,11 11 11 11 10 2
16,8,0,2,10,3,1.625,3,1.625,11,8.25,0,2,0 3 2 3 2 1 0 2,1 3 2 2 2 1 1 1,0 11 11 11 11 11 0 11
17,13,1,0,10,3,1.6923076923076923,3,1.8461538461538463,11,7.0,4,2,3 2 1 3 3 1 2 2 0 2 0 2 1,3 2 1 3 3 1 2 2 1 2 1 2 1,11 11 11 11 11 11 11 5 0 4 0 3 2
18,6,0,3,7,3,2.0,3,1.8333333333333333,11,11.0,0,0,3 2 1 2 2 2,3 2 1 2 2 1,11 11 11 11 11 11
19,4,1,0,5,2,1.75,2,1.75,11,7.25,2,0,2 2 2 1,2 2 2 1,11 11 5 2
20,6,1,0,4,3,2.0,3,2.0,11,9.5,2,0,3 3 2 1 2 1,3 3 2 1 2 1,11 11 11 11 11 2
21,5,1,0,6,2,1.6,2,1.6,11,8.4,2,0,2 2 1 2 1,2 2 1 2 1,11 11 11 7 2
22,8,1,0,8,3,1.75,3,1.875,11,8.125,2,1,3 3 0 2 1 2 2 1,3 3 1 2 1 2 2 1,11 11 0 11 11 11 8 2
23,5,1,0,6,4,2.2,4,2.2,11,9.2,1,0,4 3 2 1 1,4 3 2 1 1,11 11 11 11 2
24,4,1,0,4,3,1.75,3,1.75,11,5.25,3,0,1 3 2 1,1 3 2 1,11 5 3 2
25,10,1,0,10,2,1.2,2,1.3,11,8.5,2,1,1 1 1 0 2 2 1 1 2 1,1 1 1 1 2 2 1 1 2 1,11 11 11 0 11 11 11 11 6 2
26,6,1,0,7,4,2.1666666666666665,4,2.1666666666666665,11,9.0,2,0,4 3 2 1 2 1,4 3 2 1 2 1,11 11 11 11 8 2
27,5,1,0,4,3,1.8,3,1.8,11,9.2,2,0,3 2 1 2 1,3 2 1 2 1,11 11 11 11 2
28,7,1,0,9,3,1.8571428571428572,3,1.8571428571428572,11,9.714285714285714,1,0,3 3 2 1 2 1 1,3 3 2 1 2 1 1,11 11 11 11 11 11 2
29,4,1,0,4,3,2.25,3,2.25,11,5.5,3,0,3 3 2 1,3 3 2 1,11 6 3 2
30,5,1,0,7,3,1.8,3,1.8,11,8.4,2,0,3 2 1 2 1,3 2 1 2 1,11 11 11 7 2
