round,map_seed,n_actions,success,initial_conflicts,initial_conflict_nodes,final_conflicts,net_conflict_delta,improving_actions,neutral_actions,worsening_actions,conflict_region_actions,nonconflict_region_actions,unique_regions_changed,repeated_region_actions,first_region,last_region,first_dist_center_norm,last_dist_center_norm,mean_dist_center_norm,dist_center_delta_last_first,dist_center_slope_per_step,outward_step_ratio,conflict_before_sequence,conflict_after_sequence
1,9005,4,1,5,8,0,-5,4,0,0,4,0,4,0,11,44,0.1613966246462753,0.4396339480735708,0.3778578599345435,0.2782373234272955,0.03276169446045326,0.6666666666666666,5 4 3 2,4 3 2 0
2,9023,6,1,4,7,0,-4,4,1,1,5,1,6,0,27,9,0.2770622411610402,0.8181359746576637,0.5262620341138516,0.5410737334966236,0.061370827160282304,0.8,4 5 4 2 1 1,5 4 2 1 1 0
3,9035,8,1,4,7,0,-4,5,1,2,6,2,8,0,42,11,0.6352377279053542,0.8082675608837383,0.6426809884440272,0.17302983297838415,0.048723082510644264,0.5714285714285714,4 5 3 3 4 3 2 1,5 3 3 4 3 2 1 0
4,9053,7,1,6,9,0,-6,4,3,0,4,3,7,0,39,12,0.29576283431506356,0.5634069451933621,0.5762734077817459,0.26764411087829854,0.026697199603208883,0.5,6 5 2 1 1 1 1,5 2 1 1 1 1 0
5,9055,4,1,5,8,0,-5,3,1,0,4,0,4,0,16,0,0.7895176577716747,0.7201890023945967,0.6734534616097386,-0.069328655377078,-0.05772923086772066,0.3333333333333333,5 2 2 1,2 2 1 0
6,9056,4,1,7,10,0,-7,4,0,0,4,0,4,0,33,7,0.6512818187635391,0.4576205269671239,0.4851769629593623,-0.19366129179641517,-0.07878497197460498,0.3333333333333333,7 5 3 1,5 3 1 0
7,9057,5,1,4,7,0,-4,4,1,0,4,1,4,1,17,17,0.5394018509853976,0.5394018509853976,0.4268393808561358,0.0,-0.011003416844281438,0.25,4 3 2 2 1,3 2 2 1 0
8,9061,9,1,4,7,0,-4,6,1,2,7,2,7,2,14,32,0.8311867234831207,0.3189713758148396,0.6225151544922674,-0.5122153476682811,-0.007409914009834432,0.375,4 5 6 5 4 3 2 2 1,5 6 5 4 3 2 2 1 0
9,9067,7,1,4,7,0,-4,5,1,1,5,2,6,1,23,1,0.478604825914451,0.26749877231799307,0.4616632244269,-0.21110605359645795,-0.06785070884925803,0.3333333333333333,4 3 2 3 2 2 1,3 2 3 2 2 1 0
10,9069,6,1,4,6,0,-4,4,1,1,5,1,6,0,39,20,0.20370021093167764,0.7293491670447562,0.5856537312976421,0.5256489561130785,0.09547335147152952,0.8,4 3 2 3 2 2,3 2 3 2 2 0
11,9058,8,1,6,10,0,-6,4,2,2,6,2,6,2,33,33,0.23765024608695728,0.23765024608695728,0.4184270544068516,0.0,-0.006508826403190052,0.42857142857142855,6 7 4 4 4 7 5 2,7 4 4 4 7 5 2 0
12,9088,7,1,9,10,0,-9,5,1,1,5,2,6,1,38,36,0.2770622411610402,0.4553052872132228,0.3785166278945331,0.17824304605218255,0.014911927822377435,0.5,9 10 7 4 4 3 1,10 7 4 4 3 1 0
13,9096,7,0,8,10,2,-6,5,1,1,5,2,7,0,1,29,0.5619730768019529,0.41993874281595206,0.4458362783914834,-0.1420343339860008,0.01254982801052795,0.6666666666666666,8 7 9 7 4 3 2,7 9 7 4 3 2 2
14,9008,7,1,6,11,0,-6,5,1,1,6,1,7,0,31,7,0.4490277035631482,0.16116793643414268,0.5257609900677537,-0.2878597671290055,-0.007003671399227612,0.6666666666666666,6 4 4 5 4 3 2,4 4 5 4 3 2 0
15,9028,6,1,5,10,0,-5,4,2,0,6,0,6,0,3,0,0.684747886488007,0.643440498745971,0.7396468973065327,-0.04130738774203602,0.0024147683814292695,0.6,5 5 5 4 2 1,5 5 4 2 1 0
16,9090,8,0,10,14,2,-8,5,1,2,7,1,6,2,6,23,0.2545120717213887,0.37774036123558924,0.42398593392196904,0.12322828951420056,0.005094788212934899,0.42857142857142855,10 11 11 9 7 5 2 4,11 11 9 7 5 2 4 2
17,9098,13,1,10,14,0,-10,8,2,3,9,4,9,4,30,19,0.42902959110240146,0.12883132528016616,0.3972969661153037,-0.3001982658222353,-0.030817422192248516,0.5,10 11 9 6 5 3 3 3 1 4 1 2 1,11 9 6 5 3 3 3 1 4 1 2 1 0
18,9121,6,0,7,10,3,-4,4,1,1,5,1,6,0,31,41,0.3007597571738442,0.3007597571738442,0.3775351324013571,0.0,0.012705176786558393,0.2,7 7 9 7 6 5,7 9 7 6 5 3
19,9135,4,1,5,8,0,-5,4,0,0,4,0,4,0,21,1,0.7054581969735665,0.795075451873746,0.737702616424726,0.08961725490017947,0.004416651472458444,0.6666666666666666,5 4 2 1,4 2 1 0
20,9142,6,1,4,7,0,-4,4,1,1,4,2,5,1,1,1,0.8825558164914491,0.8825558164914491,0.6712725034603149,0.0,0.048582878444779244,0.8,4 6 4 3 1 1,6 4 3 1 1 0
21,9149,5,1,6,9,0,-6,3,2,0,4,1,4,1,31,31,0.5503676628539804,0.5503676628539804,0.6148300422330013,0.0,0.031159479154947593,0.25,6 6 4 3 3,6 4 3 3 0
22,9153,8,1,8,13,0,-8,7,0,1,7,1,8,0,41,3,0.7743287817462708,0.8983618101348219,0.5313724272217464,0.12403302838855101,-0.0002504150588263524,0.2857142857142857,8 7 5 6 4 3 2 1,7 5 6 4 3 2 1 0
23,9155,5,1,6,7,0,-6,4,0,1,4,1,5,0,23,12,0.4542774751054453,0.6771308766157322,0.5715014767340306,0.22285340151028693,0.10190669703752857,0.5,6 7 5 3 1,7 5 3 1 0
24,9160,4,1,4,7,0,-4,3,1,0,4,0,4,0,1,16,0.3618904948882416,0.3941714585984485,0.5356184175383061,0.03228096371020689,0.00889865552012321,0.3333333333333333,4 4 2 1,4 2 1 0
25,9169,10,1,10,14,0,-10,6,3,1,7,3,7,3,42,35,0.6344207015506481,0.34640038323588795,0.5672495275132012,-0.28802031831476016,-0.017862143224322637,0.5555555555555556,10 7 6 5 7 7 4 2 2 2,7 6 5 7 7 4 2 2 2 0
26,9215,6,1,7,11,0,-7,5,1,0,5,1,5,1,1,1,0.6937779189552487,0.6937779189552487,0.7123926213741631,0.0,0.009736857472107691,0.6,7 6 4 3 2 2,6 4 3 2 2 0
27,9218,5,1,4,7,0,-4,4,1,0,5,0,5,0,28,11,0.5031024082580213,0.5485552506999996,0.599387708725008,0.045452842441978225,0.011405425548572934,0.5,4 3 2 1 1,3 2 1 1 0
28,9227,7,1,9,13,0,-9,6,1,0,7,0,6,1,39,13,0.3759113714051263,0.6798489241772271,0.40338461314004126,0.30393755277210077,0.061592146177739275,0.5,9 8 8 6 4 2 1,8 8 6 4 2 1 0
29,10001,4,1,4,7,0,-4,3,0,1,3,1,4,0,31,6,0.7077584926439497,0.4788038346057757,0.4689236696833725,-0.22895465803817405,-0.09965783527279784,0.3333333333333333,4 2 3 1,2 3 1 0
30,10002,5,1,7,10,0,-7,5,0,0,5,0,5,0,31,1,0.30403768177807605,0.8012496003642744,0.5526269308231725,0.49721191858619834,0.10391188096523023,0.75,7 6 4 2 1,6 4 2 1 0
