new_round,source,source_round,seed
1,existing_36,1,9005
2,existing_36,3,9023
3,existing_36,4,9035
4,existing_36,6,9053
5,existing_36,7,9055
6,existing_36,8,9056
7,existing_36,9,9057
8,existing_36,10,9061
9,existing_36,11,9067
10,existing_36,12,9069
11,existing_36,14,9058
12,existing_36,15,9088
13,existing_36,16,9096
14,existing_36,17,9008
15,existing_36,18,9028
16,existing_36,19,9090
17,existing_36,20,9098
18,existing_36,23,9121
19,existing_36,24,9135
20,existing_36,25,9142
21,existing_36,26,9149
22,existing_36,27,9153
23,existing_36,28,9155
24,existing_36,30,9160
25,existing_36,32,9169
26,existing_36,34,9215
27,existing_36,35,9218
28,existing_36,36,9227
29,new_generated,1,10001
30,new_generated,2,10002
31,new_generated,3,10003
32,new_generated,4,10010
33,new_generated,5,10015
34,new_generated,6,10016
35,new_generated,7,10023
36,new_generated,8,10024
37,new_generated,9,10025
38,new_generated,10,10035
