task_id,random_seed,true_region_preserve,true_color_preserve,hat_region_preserve,hat_color_preserve,ll,nll,n_actions,converged
0,1,0.0,0.0,0.0,0.0,-36.556564557176394,36.556564557176394,62,True
1,1,0.0,0.25,0.0,0.0,-36.556564557176394,36.556564557176394,62,True
2,1,0.0,0.5,0.0,0.0,-36.556564557176394,36.556564557176394,62,True
3,1,0.0,1.0,0.0,1.0,-36.613722971016344,36.613722971016344,62,True
4,1,0.0,2.0,0.0,2.0,-240.26144216056028,240.26144216056028,286,True
5,1,0.5,0.0,0.5,0.0,-37.53739381018812,37.53739381018812,62,True
6,1,0.5,0.25,0.5,0.0,-37.53739381018812,37.53739381018812,62,True
7,1,0.5,0.5,0.5,0.0,-37.53739381018812,37.53739381018812,62,True
8,1,0.5,1.0,0.5,0.0,-37.53739381018812,37.53739381018812,62,True
9,1,0.5,2.0,0.5,2.0,-242.67735593886133,242.67735593886133,289,True
10,1,1.0,0.0,1.0,0.0,-31.22579344577862,31.22579344577862,62,True
11,1,1.0,0.25,1.0,0.25,-29.434033976550566,29.434033976550566,62,True
12,1,1.0,0.5,1.0,0.25,-29.434033976550566,29.434033976550566,62,True
13,1,1.0,1.0,1.0,2.0,-26.494872054484976,26.494872054484976,61,True
14,1,1.0,2.0,1.0,2.0,-233.24035819627113,233.24035819627113,288,True
15,1,2.0,0.0,2.0,0.0,-32.324405734446735,32.324405734446735,62,True
16,1,2.0,0.25,1.0,0.25,-29.434033976550566,29.434033976550566,62,True
17,1,2.0,0.5,1.0,0.25,-29.434033976550566,29.434033976550566,62,True
18,1,2.0,1.0,1.0,0.25,-29.434033976550566,29.434033976550566,62,True
19,1,2.0,2.0,2.0,2.0,-231.34323821138523,231.34323821138523,289,True
