task_id,random_seed,true_pruning_thresh,true_gamma,true_lapse_rate,hat_pruning_thresh,hat_gamma,hat_lapse_rate,ll,nll,n_actions,converged
0,1,0.0,0.05,0.0,0.0,0.2,0.1,-45.02718041992609,45.02718041992609,62,True
1,1,0.0,0.05,0.1,0.0,0.2,0.1,-47.14052351328161,47.14052351328161,63,True
2,1,0.0,0.05,0.3,0.0,0.2,0.3,-63.388798707436415,63.388798707436415,67,True
3,1,0.0,0.1,0.0,0.0,0.1,0.0,-992.2668458039797,992.2668458039797,549,True
4,1,0.0,0.1,0.1,0.0,0.2,0.1,-126.04588061819861,126.04588061819861,105,True
5,1,0.0,0.1,0.3,0.0,0.2,0.3,-203.44566427572047,203.44566427572047,126,True
6,1,0.0,0.2,0.0,0.0,0.2,0.0,-1374.4322170492267,1374.4322170492267,548,True
7,1,0.0,0.2,0.1,0.0,0.2,0.1,-154.47767400185555,154.47767400185555,105,True
8,1,0.0,0.2,0.3,0.0,0.2,0.3,-205.1097153382238,205.1097153382238,129,True
9,1,0.5,0.05,0.0,0.0,0.2,0.1,-45.02718041992609,45.02718041992609,62,True
10,1,0.5,0.05,0.1,0.0,0.2,0.1,-47.14052351328161,47.14052351328161,63,True
11,1,0.5,0.05,0.3,0.0,0.2,0.3,-63.388798707436415,63.388798707436415,67,True
12,1,0.5,0.1,0.0,0.0,0.1,0.0,-992.2668458039797,992.2668458039797,549,True
13,1,0.5,0.1,0.1,0.0,0.2,0.1,-126.04588061819861,126.04588061819861,105,True
14,1,0.5,0.1,0.3,0.0,0.2,0.3,-203.44566427572047,203.44566427572047,126,True
15,1,0.5,0.2,0.0,0.0,0.2,0.0,-1374.4322170492267,1374.4322170492267,548,True
16,1,0.5,0.2,0.1,0.0,0.2,0.1,-154.47767400185555,154.47767400185555,105,True
17,1,0.5,0.2,0.3,0.0,0.2,0.3,-205.1097153382238,205.1097153382238,129,True
18,1,1.0,0.05,0.0,1.0,0.05,0.0,-55.64715057725341,55.64715057725341,64,True
19,1,1.0,0.05,0.1,1.0,0.05,0.1,-67.53500714481947,67.53500714481947,65,True
20,1,1.0,0.05,0.3,1.0,0.1,0.3,-106.83440346887099,106.83440346887099,74,True
21,1,1.0,0.1,0.0,1.0,0.1,0.0,-996.9057828524385,996.9057828524385,549,True
22,1,1.0,0.1,0.1,1.0,0.1,0.1,-144.16147749398104,144.16147749398104,107,True
23,1,1.0,0.1,0.3,1.0,0.2,0.3,-118.17620695716744,118.17620695716744,82,True
24,1,1.0,0.2,0.0,1.0,0.2,0.0,-1228.2057422931578,1228.2057422931578,547,True
