task_id,true_pruning_thresh,true_gamma,true_lapse_rate,random_seed
0,0.0,0.05,0.0,1
1,0.0,0.05,0.0,2
2,0.0,0.05,0.0,3
3,0.0,0.05,0.1,1
4,0.0,0.05,0.1,2
5,0.0,0.05,0.1,3
6,0.0,0.05,0.3,1
7,0.0,0.05,0.3,2
8,0.0,0.05,0.3,3
9,0.0,0.1,0.0,1
10,0.0,0.1,0.0,2
11,0.0,0.1,0.0,3
12,0.0,0.1,0.1,1
13,0.0,0.1,0.1,2
14,0.0,0.1,0.1,3
15,0.0,0.1,0.3,1
16,0.0,0.1,0.3,2
17,0.0,0.1,0.3,3
18,0.0,0.2,0.0,1
19,0.0,0.2,0.0,2
20,0.0,0.2,0.0,3
21,0.0,0.2,0.1,1
22,0.0,0.2,0.1,2
23,0.0,0.2,0.1,3
24,0.0,0.2,0.3,1
25,0.0,0.2,0.3,2
26,0.0,0.2,0.3,3
27,0.5,0.05,0.0,1
28,0.5,0.05,0.0,2
29,0.5,0.05,0.0,3
30,0.5,0.05,0.1,1
31,0.5,0.05,0.1,2
32,0.5,0.05,0.1,3
33,0.5,0.05,0.3,1
34,0.5,0.05,0.3,2
35,0.5,0.05,0.3,3
36,0.5,0.1,0.0,1
37,0.5,0.1,0.0,2
38,0.5,0.1,0.0,3
39,0.5,0.1,0.1,1
40,0.5,0.1,0.1,2
41,0.5,0.1,0.1,3
42,0.5,0.1,0.3,1
43,0.5,0.1,0.3,2
44,0.5,0.1,0.3,3
45,0.5,0.2,0.0,1
46,0.5,0.2,0.0,2
47,0.5,0.2,0.0,3
48,0.5,0.2,0.1,1
49,0.5,0.2,0.1,2
50,0.5,0.2,0.1,3
51,0.5,0.2,0.3,1
52,0.5,0.2,0.3,2
53,0.5,0.2,0.3,3
54,1.0,0.05,0.0,1
55,1.0,0.05,0.0,2
56,1.0,0.05,0.0,3
57,1.0,0.05,0.1,1
58,1.0,0.05,0.1,2
59,1.0,0.05,0.1,3
60,1.0,0.05,0.3,1
61,1.0,0.05,0.3,2
62,1.0,0.05,0.3,3
63,1.0,0.1,0.0,1
64,1.0,0.1,0.0,2
65,1.0,0.1,0.0,3
66,1.0,0.1,0.1,1
67,1.0,0.1,0.1,2
68,1.0,0.1,0.1,3
69,1.0,0.1,0.3,1
70,1.0,0.1,0.3,2
71,1.0,0.1,0.3,3
72,1.0,0.2,0.0,1
73,1.0,0.2,0.0,2
74,1.0,0.2,0.0,3
75,1.0,0.2,0.1,1
76,1.0,0.2,0.1,2
77,1.0,0.2,0.1,3
78,1.0,0.2,0.3,1
79,1.0,0.2,0.3,2
80,1.0,0.2,0.3,3
